Original,Inflection,rbl_ara,is_same
صام,يصوم,صام,True
صام,تصوم,صام,True
صام,يصومان,صام,True
صام,يصوما,صام,True
صام,تصومان,صام,True
صام,تصوما,صام,True
صام,يصومون,صام,True
صام,يصوموا,صام,True
صام,يصمن,صام,True
صام,نصوم,صام,True
صام,صمت,صَمّ,False
صام,صمت,صَمّ,False
صام,صمت,صَمّ,False
صام,صمتم,صَمَّت,False
صام,صمتن,صام,True
صام,صام,,False
صام,صامت,صام,True
صام,صاما,صام,True
صام,صامتا,صام,True
صام,صاموا,صام,True
صام,صمن,صام,True
صام,صمنا,صام,True
صام,صم,صَمّ,False
صام,صومي,صَوْم,False
صام,صوموا,,False
صام,صمن,صام,True
ولى,ولى,لَيّ,False
ولى,أولي,أَوْلَى,False
ولى,تولي,وَلَّى,False
ولى,تولين,وَلَّى,False
ولى,تولي,وَلَّى,False
ولى,تولون,وَلَّى,False
ولى,تولوا,تَوَلَّى,False
ولى,تولين,وَلَّى,False
ولى,يولي,وَلَّى,False
ولى,تولي,وَلَّى,False
ولى,يوليا,وَلَّى,False
ولى,يوليان,وَلَّى,False
ولى,توليا,تَوَلِّي,False
ولى,توليان,وَلَّى,False
ولى,يولوا,وَلَّى,False
ولى,يولون,وَلَّى,False
ولى,يولين,وَلَّى,False
ولى,نولي,وَلَّى,False
ولى,وليت,لَيْتَ,False
ولى,وليت,لَيْتَ,False
ولى,ولت,وَلَّى,False
ولى,وليتم,وَلَّى,False
ولى,وليتن,وَلَّى,False
ولى,ولى,لَيّ,False
ولى,ولت,وَلَّى,False
ولى,وليا,لِيّاء,False
ولى,ولتا,لَتّ,False
ولى,ولوا,لِواء,False
ولى,ولين,لَيَّن,False
ولى,ولينا,لَيَّن,False
ولى,ول,لِ,False
ولى,ولي,لَيّ,False
ولى,ولوا,لِواء,False
ولى,ولين,لَيَّن,False
وصى,وصى,وَصَّى,False
وصى,أوصي,أَوْصَى,False
وصى,تزصي,,False
وصى,توصين,وَصَّى,False
وصى,توصي,وَصَّى,False
وصى,توصون,وَصَّى,False
وصى,توصون,وَصَّى,False
وصى,توصوا,وَصَّى,False
وصى,يوصي,وَصَّى,False
وصى,توصي,وَصَّى,False
وصى,يوصيان,وَصَّى,False
وصى,يوصيا,وَصَّى,False
وصى,توصيان,وَصَّى,False
وصى,توصيا,وَصَّى,False
وصى,يوصون,وَصَّى,False
وصى,يوصوا,وَصَّى,False
وصى,يوصين,وَصَّى,False
وصى,نوصي,وَصَّى,False
وصى,وصيت,صِيت,False
وصى,وصيت,صِيت,False
وصى,وصت,صات,False
وصى,وصيتم,وَصَّى,False
وصى,وصيتن,وَصَّى,False
وصى,وصى,وَصَّى,False
وصى,وصت,صات,False
وصى,وصيا,وَصِيّ,False
وصى,وصتا,وَصَّى,False
وصى,وصوا,وَصَّى,False
وصى,وصين,صِين,False
وصى,وصينا,وَصَّى,False
وصى,وص,ص,False
وصى,وصي,وَصَّى,False
وصى,وصوا,وَصَّى,False
وصى,وصين,صِين,False
وأى,وأى,أَيّ,False
وأى,أئي,,False
وأى,تئي,,False
وأى,تئين,آن,False
وأى,تئي,,False
وأى,تؤن,آن,False
وأى,تأوا,,False
وأى,تئين,آن,False
